subject,idna_subject,expiration_date,epoch
0cash.org,0cash.org,26-jan-2021,1611619200.0
0on.info,0on.info,12-feb-2021,1613088000.0
0x1f4b0.com,0x1f4b0.com,03-feb-2021,1612310400.0
1-hash.com,1-hash.com,01-may-2022,1651363200.0
1000expert.com,1000expert.com,15-feb-2021,1613347200.0
100btc.com,100btc.com,11-apr-2021,1618099200.0
101010.pl,101010.pl,14-mar-2021,1615680000.0
10adspay.com,10adspay.com,05-apr-2021,1617580800.0
10in10trading.com,10in10trading.com,07-apr-2021,1617753600.0
10xbitco.in,10xbitco.in,10-apr-2021,1618012800.0
10xbitcoin.com,10xbitcoin.com,27-jan-2021,1611705600.0
10xbtc.net,10xbtc.net,28-feb-2021,1614470400.0
120bit.com,120bit.com,06-mar-2021,1614988800.0
120bitcoins.com,120bitcoins.com,01-mar-2021,1614556800.0
12inv.com,12inv.com,24-mar-2022,1648080000.0
12usd.biz,12usd.biz,14-jan-2021,1610582400.0
180tradeoption.com,180tradeoption.com,14-jan-2021,1610582400.0
1daybtc.com,1daybtc.com,10-mar-2021,1615334400.0
1q2w3.website,1q2w3.website,21-feb-2021,1613865600.0
1stpool.org,1stpool.org,23-jan-2021,1611360000.0
1thash.com,1thash.com,31-mar-2022,1648684800.0
1thash.top,1thash.top,26-may-2024,1716681600.0
20dailycoin.com,20dailycoin.com,24-apr-2021,1619222400.0
24bitdeposit.com,24bitdeposit.com,30-apr-2021,1619740800.0
24hourbtc.com,24hourbtc.com,28-feb-2021,1614470400.0
2btc.io,2btc.io,15-mar-2021,1615766400.0
2doublecoin.co,2doublecoin.co,28-feb-2021,1614470400.0
2fxltd.com,2fxltd.com,22-mar-2021,1616371200.0
2giga.download,2giga.download,22-jan-2021,1611273600.0
2hoursbitcoin.com,2hoursbitcoin.com,19-feb-2021,1613692800.0
2passiveincome.com,2passiveincome.com,30-jan-2021,1611964800.0
2x2club.com,2x2club.com,19-feb-2021,1613692800.0
2x2funds.com,2x2funds.com,26-mar-2021,1616716800.0
2x9bitmax.com,2x9bitmax.com,23-mar-2021,1616457600.0
2xbits.com,2xbits.com,18-mar-2021,1616025600.0
2zo.pw,2zo.pw,31-jan-2021,1612051200.0
333eth.io,333eth.io,27-aug-2021,1630022400.0
3389.space,3389.space,03-apr-2021,1617408000.0
3business.com,3business.com,30-jan-2021,1611964800.0
4finance.biz,4finance.biz,12-dec-2025,1765497600.0
4kmine.com,4kmine.com,20-apr-2026,1776643200.0
52hash.com,52hash.com,17-mar-2022,1647475200.0
572133.club,572133.club,20-apr-2021,1618876800.0
5b6b7b.ru,5b6b7b.ru,24-mar-2021,1616544000.0
5bit.biz,5bit.biz,19-mar-2021,1616112000.0
5smining.com,5smining.com,16-jan-2021,1610755200.0
666pool.cn,666pool.cn,15-apr-2021,1618444800.0
6block.com,6block.com,19-oct-2026,1792368000.0
6union.net,6union.net,23-apr-2021,1619136000.0
777payouts.com,777payouts.com,05-apr-2021,1617580800.0
7blockchain.net,7blockchain.net,13-apr-2021,1618272000.0
8bit.lt,8bit.lt,22-jan-2021,1611273600.0
99miners.com,99miners.com,12-nov-2021,1636675200.0
9deposit.com,9deposit.com,15-apr-2021,1618444800.0
9returns.com,9returns.com,28-jan-2026,1769558400.0
aapool.cn,aapool.cn,23-apr-2021,1619136000.0
aapool.org,aapool.org,20-apr-2021,1618876800.0
abmining.io,abmining.io,02-sep-2021,1630540800.0
abseits.ski,abseits.ski,09-dec-2021,1639008000.0
aceminers.com,aceminers.com,28-jan-2021,1611792000.0
aceprofits.net,aceprofits.net,19-jan-2021,1611014400.0
acidpool.com,acidpool.com,16-apr-2021,1618531200.0
active-coin.com,active-coin.com,26-apr-2021,1619395200.0
ad-miner.com,ad-miner.com,26-jan-2021,1611619200.0
adaminers.com,adaminers.com,14-mar-2021,1615680000.0
adbrook.com,adbrook.com,18-mar-2021,1616025600.0
adless.io,adless.io,23-mar-2021,1616457600.0
adrenali.gq,adrenali.gq,04-jun-2021,1622764800.0
advisorinvest.biz,advisorinvest.biz,09-oct-2021,1633737600.0
advtech.group,advtech.group,13-apr-2021,1618272000.0
aeon-pool.com,aeon-pool.com,11-feb-2021,1613001600.0
aeonminingpool.com,aeonminingpool.com,13-oct-2027,1823385600.0
afminer.com,afminer.com,25-feb-2021,1614211200.0
agamamining.xyz,agamamining.xyz,09-may-2021,1620518400.0
aiomine.com,aiomine.com,22-mar-2021,1616371200.0
aionsurf.com,aionsurf.com,24-jan-2021,1611446400.0
airbitclub-official.ru,airbitclub-official.ru,07-mar-2021,1615075200.0
airbitclub.com,airbitclub.com,16-sep-2024,1726444800.0
ajcryptominer.com,ajcryptominer.com,16-jan-2021,1610755200.0
albionunion.com,albionunion.com,11-apr-2023,1681171200.0
alfie.com,alfie.com,22-oct-2025,1761091200.0
alimabi.cn,alimabi.cn,19-apr-2021,1618790400.0
allcoin.com,allcoin.com,21-feb-2021,1613865600.0
alliancesystemclub.com,alliancesystemclub.com,15-apr-2021,1618444800.0
allinhash.com,allinhash.com,09-may-2025,1746748800.0
allmonitors.net,allmonitors.net,23-apr-2022,1650672000.0
alpha-cash.com,alpha-cash.com,29-may-2027,1811548800.0
alpha-t.net,alpha-t.net,22-apr-2021,1619049600.0
altavista.ovh,altavista.ovh,06-mar-2021,1614988800.0
altcoin.farm,altcoin.farm,16-apr-2021,1618531200.0
altcoinpool.club,altcoinpool.club,04-feb-2021,1612396800.0
altcoinpool.ru,altcoinpool.ru,02-nov-2021,1635811200.0
